"1 ""TRAINING SET INDEX"	SMILES	NAME	MW	LogS(mols/L)	REFERENCE	GROUP						
"49 ""48"	[S]1([O-])([O-])N[C@@H](Nc2cc(c([S]([O-])([O-])N)cc12)C(F)(F)F)Cc1ccccc1	Bendroflumethiazide	421.46	-3.59	25	TRAIN						
"50 ""49"	FC(F)(F)c1cc([N](=O)[O-])c(N(CC)CCCC)c([N](=O)[O-])c1	Benfluralin	335.32	-5.53	25	TRAIN						
"51 ""50"	O=C(OC)Nc1[nH0]c2ccccc2[nH0]1C(=O)NCCCC	Benomyl	290.36	-4.883	26	TRAIN						
"52 ""51"	[S-][P](SCCN[S]([O-])([O-])c1ccccc1)(OC(C)C)OC(C)C	Bensulide	397.57	-4.2	25	TRAIN						
"53 ""52"	OC(c1ccccc1)c1ccccc1	Benzhydrol	184.25	-2.55	25	TRAIN						
"54 ""53"	O=C(O)C(O)(c1ccccc1)c1ccccc1	Benzilic acid	228.26	-2.21	25	TRAIN						
"55 ""54"	O=[N]([O-])c1[nH0]cc[nH0]1CC(=O)NCc1ccccc1	Benznidazole	260.28	-2.81	25	TRAIN						
"56 ""55"	c1ccc2c(c1)Cc1c2ccc2ccccc12	Benzo(a)fluorene	216.29	-6.68	25	TRAIN						
"57 ""56"	c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34	Benzo(a)pyrene	252.32	-8.19	25	TRAIN						
"58 ""57"	c1ccc2c(c1)c1cccc3c1c2cc1ccccc13	Benzo(b)fluoranthene	252.32	-8.23	25	TRAIN						
"59 ""58"	[nH0]1cccc2c1ccc1ccccc12	Benzo(f)quinoline	179.23	-3.36	25	TRAIN						
"60 ""59"	c1ccc2c3c(ccc2c1)c1cccc2cccc3c12	Benzo(j)fluoranthene	252.32	-8	25	TRAIN						
"61 ""60"	O=C(OCC)c1ccc(N)cc1	Benzocaine	165.21	-2.616	26	TRAIN						
"62 ""61"	O=C(c1ccccc1)[C@@H](O)c1ccccc1	Benzoin	212.26	-2.85	26	TRAIN						
"63 ""62"	O=C(N)NCc1ccccc1	Benzylurea	150.2	-0.95	25	TRAIN						
"64 ""63"	ICCC(=O)O	Beta-Iodopropionic acid	199.98	-0.43	25	TRAIN						
"65 ""64"	F[C@]([C@H](O)C[C@](C)([C@H](C[C@@H](C)[C@@](O)(C(=O)CO)1)[C@H](CCC2=CC(=O)C=C[C@@](C)22)3)1)32	Betamethasone	392.51	-3.77	25	TRAIN						
"66 ""65"	F[C@]([C@H](O)C[C@](C)([C@H](C[C@@H](C)[C@](OC(=O)CCCC)(C(=O)CO)1)[C@H](CCC2=CC(=O)C=C[C@@](C)22)3)1)32	Betamethasone-17-valerate	476.64	-4.71	25	TRAIN						
"67 ""66"	c1ccc(cc1)CCc1ccccc1	Bibenzyl	182.28	-4.62	25	TRAIN						
"68 ""67"	c1ccc(cc1)c1ccccc1	Biphenyl	154.22	-4.31	25	TRAIN						
"69 ""68"	O[C@@H](C[C@@H](CC[C@@](C)1(C2(C)C))2)1	Borneol	154.28	-2.32	25	TRAIN						
"70 ""69"	BrC=1C(=O)N(C(=O)NC=1C)[C@H](C)CC	Bromacil	261.14	-2.523	26	TRAIN						
"71 ""70"	Brc1cc(Cl)c(O[P]([S-])(OC)OC)cc1Cl	Bromophos	366	-6.09	25	TRAIN						
"72 ""71"	Brc1cc(C#N)cc(Br)c1O	Bromoxynil	276.91	-3.33	25	TRAIN						
"73 ""72"	BrC=1C(=O)N(N=CC=1N)c1ccccc1	Brompyrazone	266.11	-3.12	25	TRAIN						
"74 ""73"	O=C1N2c3cc(OC)c(OC)cc3[C@@](CCN3CC4=CCO[C@H](C1)[C@@H]([C@@H](C[C@H]31)4)[C@H]22)12	Brucine	394.51	-2.09	25	TRAIN						
"75 ""74"	[S]([O-])([O-])(Oc1[nH0]c([nH0]c(C)c1CCCC)NCC)N(C)C	Bupirimate	316.48	-4.16	25	TRAIN						
"76 ""75"	O=C(Oc1cc(cc(c1)C(C)(C)C)C(C)(C)C)NC	Butacarb	263.42	-4.24	25	TRAIN						
"77 ""76"	O=C(OCCCC)c1ccc(N)cc1	Butamben	193.27	-3.082	26	TRAIN						
"78 ""77"	s1c([nH0][nH0]c1C(C)(C)C)N1C(=O)N(C)C[C@H](O)1	Buthidazole	256.37	-1.877	26	TRAIN						
"79 ""78"	Clc1ccc(NC(=O)N(C)[C@@H](C)C#C)cc1	Buturon	236.72	-3.9	25	TRAIN						
"80 ""79"	O=C1C[C@@H](CC[C@@](C)1(C1(C)C))1	Camphor	152.26	-1.99	25	TRAIN						
"81 ""80"	O=C(O)CCCCCCCCC	Caprinic acid	172.3	-3.44	25	TRAIN						
"82 ""81"	ClC(Cl)C(Cl)(Cl)SN1C(=O)[C@H](CC=CC[C@@H](C1=O)1)1	Captafol	349.07	-5.4	25	TRAIN						
"83 ""82"	O=C(Nc1ccccc1)Nc1ccccc1	Carbanilide	212.27	-3.15	25	TRAIN						
"84 ""83"	[nH]1c2ccccc2c2ccccc12	Carbazole	167.22	-4.97	25	TRAIN						
"85 ""84"	O=C(O[C@@H](C)C(=O)NCC)Nc1ccccc1	Carbetamide	236.3	-1.83	25	TRAIN						
"86 ""85"	BrC(CC)(CC)C(=O)NC(=O)N	Carbromal	237.12	-2.68	25	TRAIN						
"87 ""86"	[S]([O-])([O-])(NC(=O)NCCCC)c1ccc(N)cc1	Carbutamide	271.38	-2.18	25	TRAIN						
"88 ""87"	OCCCCCCCCCCCCCCCC	Cetyl alcohol	242.5	-7.26	25	TRAIN						
"89 ""88"	O=C(O)CC[C@H](C)[C@@H](CC[C@H]([C@@H]([C@H](O)C[C@H](C[C@H](O)CC[C@](C)1([C@H](CC[C@](C)23)4))1)4)2)3	Chenodeoxycholic acid	392.64	-3.64	25	TRAIN						
"90 ""89"	Clc1[nH0]c([nH0]c([nH0]1)N(CC)CC)N(CC)CC	Chlorazine	257.81	-4.411	26	TRAIN						
"91 ""90"	Brc1ccc(NC(=O)N(OC)C)cc1Cl	Chlorbromuron	293.56	-3.924	26	TRAIN						
"92 ""91"	Clc1cccc(NC(=O)O[C@@H](C)C#C)c1	Chlorbufam	223.67	-2.617	26	TRAIN						
"93 ""92"	ClC1=C(Cl)[C@@](Cl)([C@H]([C@H](C[C@@H](Cl)[C@H](Cl)2)[C@](Cl)1(C1(Cl)Cl))2)1	Chlordane	409.76	-6.86	25	TRAIN						
"94 ""93"	Clc1[nH0]c([nH0]c(OC)c1)N(N[S]([O-])([O-])c1ccccc1C(=O)OCC)C=O	Chlorimuron-ethyl	414.86	-4.576	26	TRAIN						
"95 ""94"	ClCC(=O)N	Chloroacetamide	93.52	-0.02	25	TRAIN						
"96 ""95"	ClCC(=O)O	Chloroacetic acid	94.5	0.93	25	TRAIN						
"97 ""96"	Clc1ccc(cc1)C(O)(c1ccc(Cl)cc1)C(=O)OC(C)C	Chloropropylate	339.23	-4.53	25	TRAIN						
"98 ""97"	Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl	Chlorothalonil	265.9	-5.64	25	TRAIN						
"99 ""98"	Clc1cc2N=CN[S]([O-])([O-])c2cc1[S]([O-])([O-])N	Chlorothiazide	295.75	-3.05	25	TRAIN						
"100 ""99"	Clc1ccc([S]([O-])([O-])NC(=O)NCCC)cc1	Chlorpropamide	276.77	-3.03	25	TRAIN						
"101 ""100"	Clc1[nH0]c(O[P]([S-])(OC)OC)c(Cl)cc1Cl	Chlorpyriphos methyl	322.54	-4.82	25	TRAIN						
"102 ""101"	Clc1c(Cl)c(Cl)c2[nH0]cc[nH0]c2c1Cl	Chlorquinox	267.92	-5.43	25	TRAIN						
"103 ""102"	Clc1ccc(cc1[S]([O-])([O-])N)[C@@](O)(NC(=O)c1ccccc11)1	Chlorthalidone	338.79	-3.451	26	TRAIN						
"104 ""103"	c1ccc2c(c1)ccc1c3CCc4cccc(cc12)c43	Cholanthrene	254.34	-7.85	26	TRAIN						
"105 ""104"	O=C(O)CC[C@H](C)[C@@H](CC[C@H]([C@@H]([C@H](O)C[C@H](C[C@H](O)CC[C@](C)1([C@H](C[C@@H](O)[C@](C)23)4))1)4)2)3	Cholic acid	408.64	-3.37	25	TRAIN						
"106 ""105"	S(CCNC(=NC#N)NC)Cc1[nH0]c[nH]c1C	Cimetidine	252.39	-1.35	25	TRAIN						
"107 ""106"	O[C@@H](c1cc[nH0]c2ccccc21)[C@H](N1CC[C@@H](C2)[C@H](C=C)C1)2	Cinchonidine	294.43	-3.07	25	TRAIN						
"108 ""107"	O=C(O)/C=Cc1ccccc1	Cinnamic acid	148.17	-2.48	25	TRAIN						
"109 ""108"	Clc1ccccc1C1=NCC(=O)Nc2ccc([N](=O)[O-])cc21	Clonazepam	315.73	-3.499	26	TRAIN						
"110 ""109"	O[C@@H](C=C[C@@H]([C@H](N(C)CC[C@](c1c(ccc(OC)c1O[C@H]12)C3)22)3)2)1	Codeine	299.4	-1.52	25	TRAIN						
"111 ""110"	c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61	Coronene	300.36	-9.332	26	TRAIN						
"112 ""111"	O=C1C=C2CC[C@H]([C@@H](CC[C@H](C(=O)CO)[C@](C)(C[C@@H](O)[C@@H]3([C@](C)(CC1)2))1)1)3	Corticosterone	346.51	-3.24	26	TRAIN						
"113 ""112"	O=C1C=C2CC[C@H]([C@@H](CC[C@@](O)(C(=O)CO)[C@](C)(CC(=O)[C@@H]3([C@](C)(CC1)2))1)1)3	Cortisone	360.49	-3.11	25	TRAIN						
"114 ""113"	ClC=1C(=O)Oc2cc(O[P]([S-])(OCC)OCC)ccc2C=1C	Coumaphos	362.79	-5.38	25	TRAIN						
"115 ""114"	O=C1Oc2ccccc2C(O)=C1[C@@H](CCCc1ccccc11)1	Coumatetralyl	292.35	-2.84	26	TRAIN						
"116 ""115"	Clc1[nH0]c([nH0]c([nH0]1)NC(C)(C)C#N)NCC	Cyanazine	240.73	-3.15	25	TRAIN						
"117 ""116"	O=C1NC(=O)C2(CCCCCC2)C(=O)N1	Cycloheptyl-5-spirobarbituric acid	210.26	-3.168	26	TRAIN						
"118 ""117"	O=C1NC(=O)C2(CCCCC2)C(=O)N1	Cyclohexyl-5-spirobarbituric acid	196.23	-3.06	26	TRAIN						
"119 ""118"	O=C1NC(=O)C2(CCCCCCC2)C(=O)N1	Cyclooctyl-5-spirobarbituric acid	224.29	-2.982	26	TRAIN						
"120 ""119"	O=C1NC(=O)C2(CCCC2)C(=O)N1	Cyclopentyl-5-spirobarbituric acid	182.2	-2.349	26	TRAIN						
"121 ""120"	O=C1NC(=O)C2(CC2)C(=O)N1	Cyclopropyl-5-spirobarbituric acid	154.14	-1.886	26	TRAIN						
"122 ""121"	O=C(NC1CCCCCCC1)N(C)C	Cycluron	198.35	-2.36	25	TRAIN						
"123 ""122"	ClC(Cl)=C[C@H]([C@@H](C(=O)O[C@@H](C#N)c1ccc(F)c(Oc2ccccc2)c1)C1(C)C)1	Cyfluthrin	434.31	-7.337	26	TRAIN						
"124 ""123"	[Sn](O)(C1CCCCC1)(C1CCCCC1)C1CCCCC1	Cyhexatin	385.23	-5.59	25	TRAIN						
"125 ""124"	O=C1N=C(N)C=CN1	Cytosine	111.12	-1.155	26	TRAIN						
"126 ""125"	O=C(Nc1c(C)cccc1C)[C@@H](N(C)CCCC1)1	D,l-Mepivacaine	246.39	-1.55	25	TRAIN						
"127 ""126"	C=C(C)[C@@H](CC=C(C)CC1)1	D-Limonene	136.26	-4.26	26	TRAIN						
"128 ""127"	O[C@@H](C[C@H](O)[C@@H](O)C(O)[C@H](O)1)1	D-Quercitol	164.18	-0.17	25	TRAIN						
"129 ""128"	O=C1C[C@@H](CC[C@](C)1(C1(C)C))1	D-camphor	152.24	-1.924	24	TRAIN						
"130 ""129"	Oc1ccc(cc1)/C(/CC)=C(/CC)c1ccc(O)cc1	DES	268.38	-4.35	25	TRAIN						
"131 ""130"	O=C(O)CCC(=O)NN(C)C	Daminozide	160.2	-0.2	25	TRAIN						
"132 ""131"	O[C@](C#C)(CC[C@H]([C@@H](CCC1=Cc2o[nH0]cc2C[C@](C)1([C@H](CC[C@](C)12)3))3)1)2	Danazol	337.5	-5.507	26	TRAIN						
"133 ""132"	[S]([O-])([O-])(c1ccc(N)cc1)c1ccc(N)cc1	Dapsone	248.33	-2.82	25	TRAIN						
"134 ""133"	BrC(Br)=C[C@H]([C@@H](C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1)C1(C)C)1	Deltamethrin	505.22	-8.402	26	TRAIN						
"135 ""134"	O=C(O)CC[C@H](C)[C@@H](CC[C@H]([C@@H](CC[C@H](C[C@H](O)CC[C@](C)1([C@H](C[C@@H](O)[C@](C)23)4))1)4)2)3	Deoxycholic acid	392.64	-3.95	25	TRAIN						
"136 ""135"	O=C1C=C2CC[C@H]([C@@H](CC[C@H](C(=O)CO)[C@](C)(CC[C@@H]3([C@](C)(CC1)2))1)1)3	Deoxycorticosterone	330.51	-3.75	25	TRAIN						
"137 ""136"	O=C(OCC)Nc1cccc(OC(=O)Nc2ccccc2)c1	Desmedipham	300.34	-4.632	26	TRAIN						
"138 ""137"	Nc1ccc(cc1)Cc1ccc(N)cc1	Di-(p-aminophenyl)methane	198.29	-2.3	25	TRAIN						
"139 ""138"	ClC[C@@H](S[P]([S-])(OCC)OCC)N1C(=O)c2ccccc2C1=O	Dialifos	393.88	-6.34	25	TRAIN						
"140 ""139"	Cl/C=C(Cl)/CSC(=O)N(C(C)C)C(C)C	Diallate	270.25	-4.286	26	TRAIN						
"141 ""140"	[S-][P](OCC)(OCC)Oc1[nH0]c([nH0]c(C)c1)C(C)C	Diazinon	304.39	-3.64	25	TRAIN						
"142 ""141"	c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12	Dibenz(a,h)anthracene	278.36	-8.66	25	TRAIN						
"143 ""142"	O=C(NC(=O)c1ccccc1)c1ccccc1	Dibenzamid	225.26	-2.27	25	TRAIN						
"144 ""143"	o1c2ccccc2c2ccccc12	Dibenzofuran	168.2	-4.6	25	TRAIN						
"145 ""144"	s1c2ccccc2c2ccccc12	Dibenzothiophene	184.27	-4.38	25	TRAIN						
"146 ""145"	O=C(NCCN(CC)CC)c1cc(OCCCC)[nH0]c2ccccc21	Dibucaine	343.52	-3.7	25	TRAIN						
"147 ""146"	Clc1ccc(Cl)c(c1OC)C(=O)O	Dicamba	221.04	-1.7	25	TRAIN						
"148 ""147"	Clc1ccc(O[C@H](C)C(=O)O)c(Cl)c1	Dichlorprop	235.07	-2.45	25	TRAIN						
"149 ""148"	Oc1ccc(cc1)[C@@H](C=C)[C@@H](C=C)c1ccc(O)cc1	Dienestrol	266.36	-4.95	25	TRAIN						
"150 ""149"	ClC=1C(Cl)=C(Cl)C(Cl)(C=1Cl)C1(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl	Dienochlor	474.6	-7.278	26	TRAIN						
"151 ""150"	[S]([O-])([O-])(CC)CC	Diethyl sulfone	122.21	0.04	25	TRAIN						
"152 ""151"	O=C(Nc1ccc(Oc2ccc(OC)cc2)cc1)N(C)C	Difenoxuron	286.36	-4.16	25	TRAIN						
"153 ""152"	ICI	Diiodomethane	267.83	-2.34	26	TRAIN						
"154 ""153"	O=C(OCCCCCC(C)C)c1ccccc1C(=O)OCCCCCC(C)C	Diisooctyl phthalate	390.62	-6.637	26	TRAIN						
"155 ""154"	O=C1C=C(OC(=O)N(C)C)CC(C)(C)C1	Dimetan	211.29	-0.85	25	TRAIN						
"156 ""155"	O=C(OC)[C@@H]([C@H](C=C[C@H](C1)[C@@H](C(=O)OC)2)1)2	Dimethylcarbate	210.25	-1.2	25	TRAIN						
"157 ""156"	FC(F)(F)c1cc([N](=O)[O-])c(N(CC)CC)c([N](=O)[O-])c1N	Dinitramine	322.28	-5.47	25	TRAIN						
"158 ""157"	O=C(Oc1ccccc1C1OCCO1)NC	Dioxacarb	223.25	-1.57	25	TRAIN						
"159 ""158"	O=C(O)C(c1ccccc1)c1ccccc1	Diphenylacetic acid	212.26	-3.22	25	TRAIN						
"160 ""159"	N(c1ccccc1)c1ccccc1	Diphenylamine	169.24	-3.51	25	TRAIN						
"161 ""160"	O=NN(c1ccccc1)c1ccccc1	Diphenylnitrosamine	198.24	-3.75	25	TRAIN						
"162 ""161"	Oc1ccc(cc1)C(C)(C)c1ccc(O)cc1	Diphenylolpropane	228.31	-2.82	25	TRAIN						
"163 ""162"	[S-][P](OCC)(OCC)N1C(=O)c2ccccc2C1=O	Ditalimfos	299.31	-3.35	25	TRAIN						
"164 ""163"	O=C(O)[C@@H](CO)c1ccccc1	Dl-Tropic acid	166.19	-0.93	25	TRAIN						
"165 ""164"	O=C(O)[C@@H](N)[C@@H](C)CC	Dl-isoleucine	131.18	-0.783	24	TRAIN						
"166 ""165"	O=C(O)[C@@H](N)CCCC	Dl-norleucine	131.18	-1.062	24	TRAIN						
"167 ""166"	O=C(O)[C@@H](N)C(C)C	Dl-valine	117.15	-0.233	24	TRAIN						
"168 ""167"	ClC1=C(Cl)[C@](Cl)([C@@H]([C@@H](C[C@H]([C@@H]2([C@@](Cl)1(C1(Cl)Cl)))[C@@H](O[C@H]34)4)3)2)1	Endrin	380.9	-6.18	25	TRAIN						
"169 ""168"	O[C@@H](c1ccccc1)[C@H](NC)C	Ephedrine	165.26	-0.42	25	TRAIN						
"170 ""169"	O=C1CC[C@H](c2ccc3cc(O)ccc3c2CC[C@](C)11)1	Equilenin	266.36	-5.24	25	TRAIN						
"171 ""170"	O=C1CC[C@H](C2=CCc3cc(O)ccc3[C@H](CC[C@@](C)11)2)1	Equilin	268.38	-5.28	25	TRAIN						
"172 ""171"	OC[C@H](O)[C@H](O)CO	Erythritol	122.14	0.7	25	TRAIN						
"173 ""172"	Oc1ccc2c(c1)CC[C@H]([C@@H](C[C@H](O)[C@H](O)[C@](C)(CC[C@H]21)2)2)1	Estriol	288.42	-4.955	26	TRAIN						
"174 ""173"	FC(F)(F)c1cc([N](=O)[O-])c(N(CC)CC(=C)C)c([N](=O)[O-])c1	Ethalfluralin	333.3	-6.124	26	TRAIN						
"175 ""174"	Oc1ccc2c(c1)CC[C@H]([C@@H](CC[C@@](O)(C#C)[C@](C)(CC[C@H]21)2)2)1	Ethinylestradiol	296.44	-4.3	25	TRAIN						
"176 ""175"	Oc1[nH0]c([nH0]c(C)c1CCCC)NCC	Ethirimol	209.33	-3.02	25	TRAIN						
"177 ""176"	[S]([O-])([O-])(Oc1ccc2O[C@H](OCC)C(C)(C)c2c1)C	Ethofumesate	286.38	-3.42	25	TRAIN						
"178 ""177"	S=C1NCCN1	Ethylenethiourea	102.18	-0.71	25	TRAIN						
"179 ""178"	O=C(O)c1ccc(O)cc1CC	Ethylparaben	166.18	-2.227	24	TRAIN						
"180 ""179"	O[C@@H](CC[C@H]([C@@H](CCc1cc(OC#C)ccc1[C@H](CC[C@](C)12)3)3)1)2	Ethynylestradiol	296.41	-4.479	24	TRAIN						
"181 ""180"	O(Cc1cccc(Oc2ccccc2)c1)CC(C)(C)c1ccc(OCC)cc1	Etofenprox	376.53	-8.6	26	TRAIN						
"182 ""181"	N[C@@H](CC)Cc1c[nH]c2ccccc21	Etryptamine	188.3	-2.57	25	TRAIN						
"183 ""182"	Clc1ccc(cc1)[C@@](O)(c1c[nH0]c[nH0]c1)c1ccccc1Cl	Fenarimol	331.21	-4.38	25	TRAIN						
"184 ""183"	O=C(O)CCC(=O)c1ccc(cc1)c1ccccc1	Fenbufen	254.3	-5.06	25	TRAIN						
"185 ""184"	O=C(Nc1ccccc1)c1ccoc1C	Fenfuram	201.24	-3.3	25	TRAIN						
"186 ""185"	O=C(OCC)NCCOc1ccc(Oc2ccccc2)cc1	Fenoxycarb	301.37	-4.7	26	TRAIN						
"187 ""186"	O=C(O[C@@H](C#N)c1cccc(Oc2ccccc2)c1)C1C(C)(C)C1(C)C	Fenpropathrin	349.46	-6.025	26	TRAIN						
"188 ""187"	O=C(Nc1ccccc1)N(C)C	Fenuron	164.23	-1.6	25	TRAIN						
"189 ""188"	Fc1ccc(c(F)c1)C(O)(C[nH0]1[nH0]c[nH0]c1)C[nH0]1[nH0]c[nH0]c1	Fluconazole	306.31	-1.8	26	TRAIN						
"190 ""189"	FC(F)Oc1ccc(cc1)[C@@H](C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1)C(C)C	Flucythrinate	451.5	-6.876	26	TRAIN						
"191 ""190"	F[C@@H](C[C@H]([C@@H](C[C@H](C)[C@@](O)(C(=O)CO)[C@](C)(C[C@@H](O)[C@](F)1([C@](C)(C=CC(=O)C=C23)3))3)3)1)2	Flumethasone	410.5	-5.613	26	TRAIN						
"192 ""191"	FC(F)(F)c1cccc(NC(=O)N(C)C)c1	Fluometuron	232.23	-3.43	25	TRAIN						
"193 ""192"	c1ccc2c(c1)c1cccc3cccc2c13	Fluoranthene	202.26	-6	25	TRAIN						
"194 ""193"	c1ccc2c(c1)Cc1ccccc12	Fluorene	166.23	-4.91	25	TRAIN						
